factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score
12,price_up_speculation_up,2020-02-20,3630.17772949588,4.320786265082392,0.0,0.0,0.007666699727255866,3540.1717804727787,3493.2903102131904,3470.470652460087,1,417916.0,446342.8,435286.7,1,1.070060948469853,0.5187460770017778,0.08606229596900422,4.320786265082392
12,price_up_speculation_up,2020-02-21,3694.605082023495,1.543019234531588,0.0,0.0,0.017747713012542077,3590.206337979142,3519.210218871051,3481.058476096471,1,416527.0,437834.4,437642.9,1,0.8307783845385853,0.5689605897482025,0.11444684505518829,1.543019234531588
12,price_up_speculation_up,2020-10-28,3895.2016648267377,1.6857654000326032,0.0,0.0,0.008494699462475719,3858.521203555265,3823.9024572977382,3775.8871211726605,1,269938.0,267491.6,265107.5,1,0.7030502680591405,0.06495724021435409,0.2553070854095649,1.6857654000326032
12,price_up_speculation_up,2021-06-18,4613.938267537955,1.9349291210642603,0.0,0.0,-0.022739074158457884,4662.104628883571,4628.2356067779565,4612.6066224231035,1,315701.0,327568.0,313730.8,1,0.1020541475041445,-0.3365280777245868,0.1528839764546252,1.9349291210642603
12,price_up_speculation_up,2021-10-22,4497.393214030974,3.084905977036937,0.0,0.0,0.019271096783384456,4417.751471486654,4366.229826910995,4281.865547888383,1,283202.0,273652.0,266883.7,1,0.1503470736968789,-0.4601178829319674,0.13347342683806745,3.084905977036937
12,price_up_speculation_up,2021-10-25,4504.35845110154,2.713693390228004,0.0,0.0,0.00154872761599667,4439.5602472383725,4384.257126406599,4298.070791994068,1,290684.0,277044.0,270384.6,1,0.0768886677055044,-0.4601178829319674,0.13347342683806745,2.713693390228004
12,price_up_speculation_up,2021-10-27,4352.134966702921,2.322618400179019,0.0,0.0,-0.042671259563444974,4462.474516578286,4414.279300509539,4318.532088977385,1,262035.0,277358.4,273689.3,1,0.243581649857626,-0.36275934990031167,0.17608204662265692,2.322618400179019
12,price_up_speculation_up,2022-02-25,4410.94459156393,1.6891613442170752,0.0,0.0,0.001800154666028675,4366.523305443934,4353.651361626283,4301.407025806186,1,236769.0,226604.0,226288.1,1,-0.69186827037151,-0.9930704077690625,0.12027155316076288,1.6891613442170752
12,price_up_speculation_up,2022-02-28,4402.348919578014,1.8277495219828597,0.0,0.0,-0.001948714568384191,4381.709245176405,4358.196572078751,4314.341894088407,1,223894.0,227978.0,225198.3,1,-0.6611578839303464,-0.9930704077690625,0.12248501645874638,1.8277495219828597
12,price_up_speculation_up,2022-03-02,4426.929872451209,1.2122662383004394,0.0,0.0,0.007828140270997208,4407.15725589928,4374.670136873161,4340.937841480847,1,205882.0,221890.4,221783.1,1,-0.509443909735663,-0.8550366199439848,0.1922837428055128,1.2122662383004394
12,price_up_speculation_up,2022-03-15,4400.871459895074,3.1388131590401853,0.0,0.0,-0.025483898244050618,4463.666268067874,4448.533672614501,4406.490671067682,1,174218.0,183845.8,183431.9,1,0.2269819317637091,-0.4881083210559388,0.15366373953396015,3.1388131590401853
12,price_up_speculation_up,2022-05-27,4722.8106306425625,1.635058377957126,0.0,0.0,-0.011190853198461137,4755.245098850426,4740.68267654432,4714.417772846386,1,135909.0,138809.8,136982.4,1,-0.1448836009959555,-0.6992780337209732,0.22869759699001752,1.635058377957126
12,price_up_speculation_up,2022-10-18,4469.623265845234,1.6542817544103972,0.0,0.0,-0.020072260210490356,4535.955692691226,4483.586129645374,4403.443689339568,1,216532.0,222416.2,218131.3,1,-0.1744022098898529,-0.8272571785457027,0.2661847913522932,1.6542817544103972
12,price_up_speculation_up,2022-12-12,4290.483008077646,2.6308950864654825,0.0,0.0,-0.027764921235102213,4404.17008557297,4388.221218413856,4384.546002249959,1,221723.0,234624.0,231407.9,1,-0.0556650839052064,-0.7779296904158666,0.185169224532305,2.6308950864654825
12,price_up_speculation_up,2023-02-06,4444.453540863349,1.4132049433873732,0.0,0.0,-0.007890021196680252,4461.5526615340295,4439.403849561069,4383.030761342517,1,212660.0,203924.6,200209.5,1,-0.7826667661811292,-1.039912685085578,0.12277765940817426,1.4132049433873732
12,price_up_speculation_up,2023-02-07,4392.822055007539,2.04362463103534,0.0,0.0,-0.011617060540986213,4450.882605665933,4437.827855448033,4390.72817499554,1,211571.0,207869.2,200963.2,1,-0.4705700297949396,-1.039912685085578,0.187909439990198,2.04362463103534
12,price_up_speculation_up,2023-03-02,4381.950612198392,4.843021469548882,0.0,0.0,-0.01075482654094595,4425.389132760516,4408.889884782799,4397.182785368996,1,228194.0,222489.8,221474.2,1,-0.4743761290336934,-1.0484748415873746,0.07995510221796942,4.843021469548882
12,price_up_speculation_up,2023-03-03,4431.920261305111,4.003734097688159,0.0,0.0,0.01140351718424526,4423.525036515302,4415.364228987686,4394.788835838359,1,226402.0,222261.0,221946.0,1,-0.573866458093227,-1.0484748415873746,0.07995510221796942,4.003734097688159
12,price_up_speculation_up,2023-03-14,4429.359406809186,1.6246461962836138,0.0,0.0,0.009474832909935671,4407.947108170207,4407.447449289914,4406.132017992113,1,238237.0,227474.6,225804.9,1,-0.3268069192819299,-0.8010655640416873,0.19689399096430216,1.6246461962836138
12,price_up_speculation_up,2023-07-03,4183.672617114952,5.1386664671249465,0.0,0.0,0.020910531312039016,4120.81268241474,4103.254818261504,4076.0443986224136,1,307988.0,301032.4,300532.9,1,-0.1249428123229798,-0.6868409209460999,0.07375358654912861,5.1386664671249465
12,price_up_speculation_up,2023-07-05,4210.480902215718,1.9291909240006835,0.0,0.0,0.01343088046084584,4147.430769099474,4126.986137404893,4084.707913163321,1,308884.0,303509.2,300443.9,1,-0.3971599909260518,-0.6868409209460999,0.10127930214839548,1.9291909240006835
12,price_up_speculation_up,2023-07-12,4120.627297129878,2.352672364336899,0.0,0.0,-0.011736379090630522,4179.4989047240115,4163.464836911744,4116.480340737098,1,324481.0,312719.8,308114.5,1,-0.3260942311082994,-0.7781082318516054,0.12958849318559923,2.352672364336899
12,price_up_speculation_up,2023-08-30,4347.127349620725,1.003790070601317,0.0,0.0,-0.001191245567692567,4286.623601656636,4265.432735152928,4254.645471665628,1,281854.0,281938.2,281159.6,1,-0.3011624367477036,-0.5529722991455863,0.1692021372855618,1.003790070601317
12,price_up_speculation_up,2023-09-15,4504.419257769782,6.11976934521595,0.0,0.0,0.048914625664176814,4351.381905942668,4342.792955392686,4315.69155590582,1,283470.0,263522.8,262528.2,1,0.714957548227162,-0.6400798630899913,0.14934553266927536,6.11976934521595
12,price_up_speculation_up,2023-09-18,4431.547833380764,1.956515326317899,0.0,0.0,-0.01617776237487667,4370.12566233082,4353.460899830882,4323.021099052465,1,267052.0,264565.4,263454.4,1,-0.2068688524415844,-0.6400798630899913,0.14934553266927536,1.956515326317899
12,price_up_speculation_up,2023-09-20,4473.1712506930935,3.1441203637472093,0.0,0.0,0.009027342316153097,4427.33043120265,4376.330685974755,4343.150268406296,1,268723.0,267598.0,263836.2,1,0.0658742745358453,-0.6162760649064326,0.1463379410758816,3.1441203637472093
12,price_up_speculation_up,2023-09-22,4470.454111619976,1.2626615319714984,0.0,0.0,0.00284171887029272,4453.22224095287,4402.3020734477695,4366.155244404589,1,265078.0,265606.6,264564.7,1,-0.2478755398825754,-0.6162760649064326,0.1967928408542624,1.2626615319714984
12,price_up_speculation_up,2024-02-23,3510.247992512436,1.2781236454709028,0.0,0.0,0.017704428431229324,3435.2156547770524,3434.9836080698515,3400.5335912516616,1,302368.0,284413.8,273026.0,1,0.051833218979849,-0.4461874855582868,0.2628152326486173,1.2781236454709028
12,price_up_speculation_up,2024-02-29,3547.628344580401,1.1991512844976884,0.0,0.0,0.0015775999904987792,3523.808197039293,3475.78406168933,3435.3924243771,1,304672.0,306927.4,288905.5,1,-0.0624435983714021,-0.4330895273863321,0.20847849423944925,1.1991512844976884
12,price_up_speculation_up,2024-04-26,3636.7973995221823,4.676764987813875,0.0,0.0,0.0534490908046692,3482.762072542226,3458.7983449496096,3455.3467448203783,1,614041.0,623468.4,598891.9,1,0.6634410727448482,-0.40926540498971814,0.15470749732876923,4.676764987813875
12,price_up_speculation_up,2024-09-23,3638.798802036208,1.7928127961350673,0.0,0.0,-0.015615681016923233,3655.3325333319212,3631.31587137551,3617.7769731934873,1,363617.0,357208.2,350930.8,1,0.0396260660376541,-0.4309616179205461,0.17704416492137548,1.7928127961350673
12,price_up_speculation_up,2025-02-17,3302.468654439967,3.527702416646537,0.0,0.0,-0.024018825612402317,3361.114710617933,3360.486779060925,3343.987912522228,1,401253.0,364264.6,344846.7,1,-0.0819841403966666,-0.912916054895446,0.15887278230628582,3.527702416646537
12,price_up_speculation_up,2025-03-07,3310.5190306147183,2.2353417777779208,0.0,0.0,-0.009943018843543983,3355.5098447077994,3353.9066127803935,3351.386635409239,1,433223.0,402130.2,401792.3,1,-0.4537545009177142,-1.153076961436965,0.2110131623728927,2.2353417777779208
12,price_up_speculation_up,2025-06-16,3486.26953329646,1.1816807422111497,0.0,0.0,0.010403220623379061,3422.6663887992736,3414.5636512315605,3372.66661043778,1,547821.0,554790.8,537974.9,1,-0.2689515614148401,-0.5857921866479775,0.18084924828837975,1.1816807422111497
12,price_up_speculation_up,2025-06-18,3529.615282419076,1.2678004469653041,0.0,0.0,0.018308042663111035,3464.094860798963,3430.8232685818866,3391.4021679682073,1,540438.0,550067.0,545384.7,1,-0.172834433926537,-0.567178694681598,0.2097976543293817,1.2678004469653041
12,price_up_speculation_up,2025-06-30,3568.6067742227824,2.190462217800014,0.0,0.0,0.014978885860583269,3518.2899600320125,3513.904437162089,3464.234044196825,1,518613.0,545941.4,543053.7,1,-0.2615350880511634,-0.6172354088813892,0.10952783279792416,2.190462217800014
12,price_up_speculation_up,2025-11-12,3289.613696844545,1.4012221944045111,0.0,0.0,-0.011760351931302537,3304.6247177346436,3286.1031424557827,3202.5245276872547,1,719611.0,710258.2,695649.3,1,-0.0730388420093135,-0.291851537590863,0.10532743615847205,1.4012221944045111
12,price_up_speculation_up,2025-12-02,3380.601827362677,5.67605458074153,0.0,0.0,0.009663132622283355,3340.3766489373093,3288.126711318061,3284.3288427307693,1,728591.0,726305.2,724519.3,1,0.1574664598779443,-0.5102489438356936,0.07934523238893304,5.67605458074153
12,price_up_speculation_up,2025-12-03,3341.039996728942,1.3423015862156855,0.0,0.0,-0.011702599907957412,3350.452035291151,3300.8097308793112,3286.197975217851,1,745936.0,729765.2,727814.9,1,-0.1688993515454777,-0.4921530175329418,0.16243116518193468,1.3423015862156855
12,price_up_speculation_up,2026-01-13,3351.408624581257,2.8231969473335496,0.0,0.0,-0.004720558084688076,3366.6026591219224,3348.201188705447,3317.2628560442768,1,783296.0,760902.6,751319.6,1,-0.5164450545575467,-0.8255196310186367,0.07384109210203593,2.8231969473335496
12,price_up_speculation_up,2026-01-15,3415.5652319003693,5.585192622340875,0.0,0.0,0.01632064548527934,3377.6945863364003,3362.3006989653186,3326.582057296314,1,740167.0,765028.0,749095.5,1,0.1131718068586942,-0.7421599741507225,0.10329337259848098,5.585192622340875
12,price_up_speculation_up,2026-04-22,3631.1290469374,1.582691368279733,0.0,0.0,0.019366098223864814,3569.0549638759976,3542.6108347708423,3529.865948240349,1,784513.0,777267.2,734875.6,1,-0.0389362968767681,-0.3241208707619996,0.12153624116802145,1.582691368279733
