date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_down_day,price_down_ratio,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale
2025-11-21,95243.787035506,91473.83576451118,96545.82633711142,91466.69468483004,2106084.0,197017225480.0,998213.0,0.7466188975454795,32,price_down_speculation_up,1.5345906334613924,-0.08054543681804538,1,0.5,0.31730318089764986,0.18869493756967037,1.5345906334613924,0,1.0,1.0
2025-11-24,91422.30929616808,91310.30934205856,93560.78229623068,90743.56703305389,971940.0,89390422140.0,977397.0,-0.0055988413035321,32,price_down_speculation_up,-1.0613508142560177,-0.0017876852007562283,1,0.6,0.4228494580460961,0.2722798295742034,-1.0613508142560177,0,1.0,1.0
2025-11-25,91784.2692629965,96559.5923121724,96758.7893974076,91571.97955918236,1264789.0,119095703640.0,1033634.0,0.2018245616060854,32,price_down_speculation_up,-0.4802487281900605,0.05748839323771682,0,0.5,0.4228494580460961,0.31042091631263197,-0.4802487281900605,0,1.0,1.0
2025-11-26,96939.3153038987,95686.16019824593,99060.80615547638,94666.29471466424,1354151.0,131201263500.0,1055255.0,0.2493922458071137,32,price_down_speculation_up,-0.4096066993650397,-0.009045524043874598,1,0.6,0.4228494580460961,0.28562835276095483,-0.4096066993650397,0,1.0,1.0
2025-11-27,95885.84905214592,95245.89217620356,97876.90625824616,94877.20522677424,1092456.0,105500093340.0,1066017.0,0.0244990994933621,32,price_down_speculation_up,-0.8095906701506211,-0.004601167202552658,1,0.7,0.39762066291111015,0.31085714789594077,-0.8095906701506211,0,1.0,1.0
2025-11-28,94231.2558839615,95819.86815120305,96896.36948594336,93419.24025260718,841418.0,80778102080.0,1070772.0,-0.2410465987862632,32,price_down_speculation_up,-1.1532181032015323,0.006026254381004126,0,0.6,0.376279592933335,0.36105989902605873,-1.1532181032015323,0,1.0,1.0
2025-12-01,96305.60685863173,96392.8420646492,97826.513392808,95312.46495751526,778250.0,75413399420.0,1078188.0,-0.3259893239733702,32,price_down_speculation_up,-1.3118983758596194,0.0059796984122542085,0,0.6,0.376279592933335,0.36105989902605873,-1.3118983758596194,0,1.0,1.0
2025-12-02,96295.80925291964,96029.9968753506,96691.71560266276,94627.6404407954,600263.0,57689691460.0,1078521.0,-0.585978044618334,32,price_down_speculation_up,-1.201267449564572,-0.003764233749382062,1,0.6,0.22560840370659954,0.4556916614274428,-1.201267449564572,0,1.0,1.0
2025-12-03,95825.3310298964,93184.9829012468,97012.8317608656,92123.7651278772,874952.0,82790143280.0,1062943.0,-0.1946277273691737,32,price_down_speculation_up,-0.5233470847342898,-0.029626304974233242,1,0.7,0.11316183054972374,0.39667979192954045,-0.5233470847342898,0,1.0,1.0
2025-12-04,93375.82543688171,93290.9207135939,94118.91389618372,91215.7044982764,878929.0,81820810260.0,1045917.0,-0.1739451707556575,32,price_down_speculation_up,-0.5044397948652242,0.0011368549850931942,0,0.6,0.009450129094915001,0.24521942229668847,-0.5044397948652242,0,1.0,1.0
2025-12-05,93034.53546790572,91762.80919857872,93458.76203456812,91699.91084232244,635658.0,59054278680.0,1052293.0,-0.5040661887699388,32,price_down_speculation_up,-1.4422886787864866,-0.016380066820291583,1,0.6,-0.0897720060295948,0.1937459553502219,-1.4422886787864866,0,1.0,1.0
