date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal
2025-02-07,77712.90959194045,down_trend,31.0,0,,31,price_up_speculation_up,-0.014405375950313297,0.003391554921522877,78395.84281781848,78921.62163118037,78408.2686357487,0,381758.0,384110.0,394724.0,0,-0.7695189119831563,-0.7654320583021398,0.19135530045703864,-0.014405375950313297,0,1.0,0
2025-02-10,78516.0869336697,down_trend,31.0,0,,31,price_up_speculation_up,0.9684644813914249,0.0103351855688667,78226.292806564,78740.26343587865,78544.68475704837,0,380520.0,383458.0,391500.1,0,-0.5035203008329053,-0.7707053313606489,0.18608202739852953,0.9684644813914249,0,1.0,0
2025-02-11,77248.3300129702,down_trend,31.0,0,,31,price_up_speculation_up,0.37263172317510485,-0.016146460810897434,77790.43816440194,78426.99969957545,78553.04227038601,0,385500.0,384771.2,388353.8,0,-0.6679017487356025,-0.7707053313606489,0.18608202739852953,0.37263172317510485,0,1.0,0
2025-02-12,77472.97311735935,down_trend,31.0,0,,31,price_up_speculation_up,-1.136307925432628,0.0029080642177174987,77680.106505881,78347.29918126747,78514.7610715015,0,385602.0,385147.8,386314.1,0,-1.0201591693480812,-0.7707053313606489,0.14807105087616862,-1.136307925432628,0,1.0,0
2025-02-13,77282.54287120473,down_trend,31.0,0,,31,price_up_speculation_up,-0.5707668035567678,-0.0024580216621626905,77646.56850542888,78184.04913372094,78544.9927987573,0,388081.0,384292.2,385407.5,0,-0.9375309477764184,-0.8315677684171037,0.12521959034207475,-0.5707668035567678,0,1.0,0
2025-02-14,76778.3945553336,down_trend,31.0,0,,31,price_up_speculation_up,0.10182175227467904,-0.006523443680047203,77459.66549810751,77927.754157963,78498.84478783446,0,393486.0,386637.8,385373.9,1,-0.813327072445674,-0.8315677684171037,0.12083057504149936,0.10182175227467904,0,1.0,0
2025-02-17,77152.29209240971,down_trend,31.0,0,,31,price_up_speculation_up,-1.533019873187574,0.004869827498237944,77186.90652985552,77706.59966820976,78486.12603669021,0,385111.0,387556.0,385507.0,1,-1.046421474235696,-0.7926094115919078,0.11167101868023166,-1.533019873187574,0,1.0,0
2025-02-18,77069.38997247192,down_trend,31.0,0,,31,price_up_speculation_up,-3.0508497595186004,-0.00107452569054578,77151.11852175587,77470.77834307891,78428.74640272828,0,383245.0,387105.0,385938.1,1,-1.2977186302151789,-0.7926094115919078,0.11167101868023166,-3.0508497595186004,0,1.0,0
2025-02-19,77313.01845608462,down_trend,31.0,0,,31,price_up_speculation_up,-1.6280652402083204,0.003161157545164439,77119.12758950092,77399.61704769098,78362.98305123454,0,380254.0,386035.4,385591.6,1,-1.1180207834588871,-0.7926094115919078,0.13481459952040797,-1.6280652402083204,0,1.0,0
2025-02-20,77216.24467162298,down_trend,31.0,0,,31,price_up_speculation_up,-1.004530611644082,-0.0012517139596175397,77105.86794958457,77376.21822750673,78235.64335512558,0,375818.0,383582.8,383937.5,0,-1.1105345586309794,-0.8754290101110462,0.1578613116808424,-1.004530611644082,0,1.0,0
2025-02-21,76708.1847371373,down_trend,31.0,0,,31,price_up_speculation_up,0.21296329177889475,-0.006579702712120938,77091.82598594531,77275.74574202641,78098.6836866034,0,388682.0,382622.0,384629.9,0,-0.9307431574091918,-0.9788450585622498,0.15234685550660654,0.21296329177889475,0,1.0,0
2025-02-24,76851.0123250986,down_trend,31.0,0,,31,price_up_speculation_up,-0.6780451461391506,0.001861960212599767,77031.57003248308,77109.2382811693,77924.75085852397,0,388719.0,383343.6,385449.8,0,-1.1149913648430727,-0.9788450585622498,0.13543261248268346,-0.6780451461391506,0,1.0,0
