date,open,close,high,low,volume,total_turnover,open_interest,speculation
2022-08-20,62354.1413717071,62438.17772561414,62451.77727601116,62288.63006540197,5366.0,1681055950.0,430270.0,-4.384330166609816
2022-08-22,62312.64986917381,62493.22796852531,62850.3388090826,61894.61811359055,199729.0,62483436600.0,430441.0,-0.7678488168282342
2022-08-23,62489.55923824921,62835.540160293225,63226.055411744914,62259.07426583856,202658.0,63691097500.0,431085.0,-0.7547854572107424
2022-08-24,62835.53496076034,62516.70281785387,63051.64666426839,62340.4096796309,208140.0,65381341650.0,433273.0,-0.733157084109071
2022-08-25,62516.6757924041,62999.38779241908,63194.95529365612,62350.339663438725,202655.0,63704256950.0,426571.0,-0.7442737985031611
2022-08-26,62995.83337435795,63421.20262704317,64418.22199222038,62966.17950689403,269457.0,85896857050.0,434557.0,-0.4779182984839791
2022-08-27,63425.55100960709,63412.15636481271,63459.325507775495,63294.24388240938,7276.0,2309367100.0,432770.0,-4.0856251483925945
2022-08-29,63105.21735310778,62490.76965884007,63210.67387208268,62160.36081622778,223601.0,70094094200.0,429476.0,-0.6527026473911798
2022-08-30,62486.92897325087,61698.49365839742,62540.71940502856,61443.06954675872,232830.0,72273743050.0,420635.0,-0.5914569007278512
2022-08-31,61698.48686994518,61145.044204369,62173.18741479361,60703.93395129122,230735.0,71005783750.0,419868.0,-0.598670510312123
2022-09-01,61148.95651449121,59697.82554495678,61348.89023306987,59648.4706273579,286629.0,86728472950.0,435585.0,-0.41850125860670884
2022-09-02,59697.8289396656,60018.255617049406,60243.55406668744,59118.74336109928,277457.0,82840935100.0,435816.0,-0.45155416970083057
2022-09-03,60031.680743999066,59719.72122293906,60103.205990206014,59714.68183027889,10884.0,3264816250.0,435868.0,-3.690045624295729
2022-09-05,59577.131315633735,60543.18266268161,60649.79332225829,59497.20579801901,198538.0,59773829950.0,433285.0,-0.7804151925250845
2022-09-06,60543.16867953795,60958.19552631822,61345.16530427516,60519.154516931136,220554.0,67307919750.0,435972.0,-0.6814354582398696
2022-09-07,60964.05720210203,60512.27541375262,60996.036793982166,60086.687009730624,209696.0,63618633650.0,431961.0,-0.7226764435339623
2022-09-08,60512.27598197068,61551.31766784617,61597.66280086198,60259.72827695952,219957.0,67267411350.0,427862.0,-0.6653686409803783
2022-09-09,61557.26225955976,62656.69072344349,62677.600536980906,61421.26811111034,176851.0,55313440950.0,425244.0,-0.8773555516840165
2022-09-13,62818.721953796114,62111.61408711156,63117.00575603014,61967.905776225656,217053.0,68176052200.0,422883.0,-0.6669539816917862
2022-09-14,62111.57742888291,61647.71252741897,62136.4088041093,61401.59303174912,192312.0,59696015000.0,410300.0,-0.7577695463042613
2022-09-15,61649.01199304934,61406.0429957179,62241.97908082409,61256.21408249837,199820.0,61952449150.0,411948.0,-0.7234801664868152
2022-09-16,61406.05512738042,61924.81765971141,62131.19384564147,61192.199111189206,181445.0,56130790600.0,408659.0,-0.8119284899773985
2022-09-17,61926.78703814714,62136.87074431334,62147.74225508499,61926.78703814714,7975.0,2491021300.0,409599.0,-3.9388669836451595
2022-09-19,62445.03661690086,61615.49826794489,62491.4755318111,61355.01764244324,155252.0,48260641650.0,409629.0,-0.9702022688220158
2022-09-20,61614.32154584182,61866.503102375966,62282.495648003176,61585.30056726471,150095.0,46766341050.0,409686.0,-1.0041225856654128
2022-09-21,61866.50282534142,61642.74951281379,62339.57122352057,61497.96358982133,162345.0,50470532150.0,415139.0,-0.9388897034947158
2022-09-22,61642.76906623504,61980.58607251416,62355.79232591052,61294.51841424424,210272.0,65361112550.0,417491.0,-0.6858610564568722
