date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2025-11-24,91310.30934205856,no_trend,,0,,23,speculation_continuous_drop,2.0,-0.0055988413035321,-0.7522177388490116,1.0,2.0,2,0,1.0,0,91422.30929616808,down_trend,-1.0,51.0,-1.0,-1.0,-111.9999541095167,111.9999541095167,111.9999541095167,54286.29204844295,61086.83640600899,90708.09774293537,36421.80569449242
2025-11-25,96559.5923121724,down_trend,40.0,0,,23,speculation_continuous_drop,2.0,0.2018245616060854,0.2074234029096175,0.0,2.0,0,0,1.0,0,91784.2692629965,up_trend,1.0,52.0,-1.0,-1.0,4775.323049175902,-4775.323049175902,-4775.323049175902,49510.96899926705,56311.513356833086,90708.09774293537,41197.12874366832
2025-11-26,95686.16019824593,down_trend,40.0,0,,23,speculation_continuous_drop,2.0,0.2493922458071137,0.0475676842010283,0.0,2.0,0,0,1.0,0,96939.3153038987,up_trend,1.0,52.0,1.0,1.0,-1253.1551056527678,-1253.1551056527678,-1253.1551056527678,48257.81389361428,55058.35825118032,90708.09774293537,42450.28384932109
2025-11-27,95245.89217620356,down_trend,40.0,0,,23,speculation_continuous_drop,3.0,0.0244990994933621,-0.2248931463137516,1.0,3.0,1,0,1.0,0,95885.84905214592,up_trend,1.0,52.0,1.0,1.0,-639.9568759423564,-639.9568759423564,-639.9568759423564,47617.85701767192,54418.40137523796,90708.09774293537,43090.240725263444
2025-11-28,95819.86815120305,down_trend,40.0,0,,23,speculation_continuous_drop,3.0,-0.2410465987862632,-0.2655456982796253,1.0,3.0,2,0,1.0,0,94231.2558839615,up_trend,1.0,52.0,1.0,1.0,1588.6122672415513,1588.6122672415513,1588.6122672415513,49206.46928491347,56007.01364247951,90708.09774293537,41501.62845802189
2025-12-01,96392.8420646492,down_trend,40.0,0,,23,speculation_continuous_drop,3.0,-0.3259893239733702,-0.084942725187107,1.0,3.0,3,0,1.0,0,96305.60685863173,up_trend,1.0,52.0,1.0,1.0,87.23520601747441,87.23520601747441,87.23520601747441,49293.70449093095,56094.24884849699,90708.09774293537,41414.39325200442
2025-12-02,96029.9968753506,down_trend,40.0,1,40.0,23,speculation_continuous_drop,4.0,-0.585978044618334,-0.2599887206449638,1.0,4.0,4,1,0.5,1,96295.80925291964,up_trend,1.0,52.0,1.0,1.0,-265.8123775690474,-265.8123775690474,-265.8123775690474,49027.8921133619,55828.43647092794,90708.09774293537,41680.205629573466
2025-12-03,93184.9829012468,down_trend,40.0,1,40.0,23,speculation_continuous_drop,4.0,-0.1946277273691737,0.3913503172491603,0.0,4.0,0,1,0.5,1,95825.3310298964,up_trend,1.0,52.0,1.0,0.5,-2640.34812864961,-1320.174064324805,-2640.34812864961,47707.718049037096,53188.08834227833,90708.09774293537,43000.37969389827
2025-12-04,93290.9207135939,down_trend,40.0,1,40.0,23,speculation_continuous_drop,3.0,-0.1739451707556575,0.0206825566135162,0.0,3.0,0,0,1.0,0,93375.82543688171,up_trend,1.0,52.0,1.0,0.5,-84.90472328780743,-42.452361643903714,-84.90472328780743,47665.26568739319,53103.18361899052,90708.09774293537,43042.832055542174
2025-12-05,91762.80919857872,up_trend,41.0,1,40.0,23,speculation_continuous_drop,3.0,-0.5040661887699388,-0.3301210180142813,1.0,3.0,1,0,1.0,0,93034.53546790572,down_trend,-1.0,53.0,1.0,1.0,-1271.7262693270022,-1271.7262693270022,-1271.7262693270022,46393.53941806619,51831.45734966352,90708.09774293537,44314.55832486918
2025-12-08,94412.5482067781,up_trend,41.0,1,40.0,23,speculation_continuous_drop,2.0,-0.2783711266978205,0.2256950620721183,0.0,2.0,0,0,1.0,0,91728.0864359336,down_trend,-1.0,53.0,-1.0,-1.0,2684.4617708445003,-2684.4617708445003,-2684.4617708445003,43709.07764722169,49146.99557881902,90708.09774293537,46999.02009571368
