date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position_scale,is_effective_signal,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2025-01-20,80380.96737600217,down_trend,30.0,1,29.0,21,speculation_change_rate,0.0037005449566132,-0.3827247982638317,0.0036937147851767,0.0037005449566132,0.55,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.0006385995364630581,0.0006385995364630581,0.0006385995364630581,1.0389253475284717,1.0728536830860564,2.193729278165493,0.5264113225505778
2025-01-21,78269.97830043916,down_trend,30.0,1,29.0,21,speculation_change_rate,0.3218568984487975,-0.1036873089499689,0.2790374893138628,0.3218568984487975,0.75,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,-0.026262299950787105,-0.026262299950787105,-0.026262299950787105,1.0116407784252033,1.0446780778575437,2.193729278165493,0.5388488504510509
2025-01-22,78915.04334667012,down_trend,30.0,1,29.0,21,speculation_change_rate,-0.5694197965417074,-0.9463089783775692,-0.8426216694276003,-0.5694197965417074,0.0,0,1,fast_drop,1,0.7,1,up_trend,1.0,40.0,1.0,0.7,0.00824153858526544,0.00824153858526544,0.00824153858526544,1.0199782549350225,1.0532878325453876,2.193729278165493,0.5350482554584038
2025-01-23,79341.34431291292,down_trend,30.0,0,,21,speculation_change_rate,-0.0207386938344678,-0.9672657391407876,-0.0209567607632183,-0.0207386938344678,0.5,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.005402024102934,0.0037814168720537995,0.005402024102934,1.0238352179173618,1.058977718804125,2.193729278165493,0.5332900790869034
2025-01-24,79363.83698994215,down_trend,30.0,0,,21,speculation_change_rate,-0.1627801298568789,-1.144934293786955,-0.1776685546461675,-0.1627801298568789,0.3,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.0002834925123089693,0.0002834925123089693,0.0002834925123089693,1.0241254675354796,1.059277931058108,2.193729278165493,0.5331577703189042
2025-01-27,79427.6032237804,down_trend,30.0,0,,21,speculation_change_rate,0.2887728772448681,-0.8912437860960658,0.2536905076908893,0.2887728772448681,0.7,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.0008034671237775459,0.0008034671237775459,0.0008034671237775459,1.0249483186792676,1.0601290260506562,2.193729278165493,0.5327826779353645
2025-02-05,78024.63140996407,down_trend,30.0,0,,21,speculation_change_rate,0.1414180811855472,-0.7589723658661379,0.1322714202299278,0.1414180811855472,0.6,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,-0.01766352951458927,-0.01766352951458927,-0.01766352951458927,1.0068441138013478,1.0414034057097377,2.193729278165493,0.5410353848933804
2025-02-06,77450.23287346536,down_trend,30.0,0,,21,speculation_change_rate,-0.0128362878583078,-0.7718917507381416,-0.0129193848720037,-0.0128362878583078,0.55,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,-0.007361759051198291,-0.007361759051198291,-0.007361759051198291,0.999431970033425,1.0337368447618054,2.193729278165493,0.5444141718028214
2025-02-07,77712.90959194045,down_trend,30.0,0,,21,speculation_change_rate,0.0023756561648431,-0.7695189119831563,0.0023728387549853,0.0023756561648431,0.55,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,0.003391554921522877,-0.003391554921522877,-0.003391554921522877,0.9960423416167308,1.030230869478394,2.193729278165493,0.5459593161606197
2025-02-10,78516.0869336697,down_trend,30.0,0,,21,speculation_change_rate,0.3047332466072274,-0.5035203008329053,0.2659986111502509,0.3047332466072274,0.75,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,0.0103351855688667,-0.0103351855688667,-0.0103351855688667,0.9857480591816733,1.0195832422635598,2.193729278165493,0.5506519108839147
2025-02-11,77248.3300129702,down_trend,30.0,0,,21,speculation_change_rate,-0.1515816672447767,-0.6679017487356025,-0.1643814479026971,-0.1515816672447767,0.3,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,-0.016146460810897434,0.016146460810897434,0.016146460810897434,1.0016644015886684,1.036045903128216,2.193729278165493,0.5433965295725502
2025-02-12,77472.97311735935,down_trend,30.0,0,,21,speculation_change_rate,-0.2969008935238422,-1.0201591693480812,-0.3522574206124786,-0.2969008935238422,0.1,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,0.0029080642177174987,-0.0029080642177174987,-0.0029080642177174987,0.998751497184247,1.033033015109416,2.193729278165493,0.544724361786586
2025-02-13,77282.54287120473,down_trend,30.0,0,,21,speculation_change_rate,0.0861379308234981,-0.9375309477764184,0.0826282215716627,0.0861379308234981,0.65,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,-0.0024580216621626905,0.0024580216621626905,0.0024580216621626905,1.0012064499994433,1.0355722326382841,2.193729278165493,0.5436052844056024
2025-02-14,76778.3945553336,down_trend,30.0,0,,21,speculation_change_rate,0.1322466846370869,-0.813327072445674,0.1242038753307444,0.1322466846370869,0.65,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,-0.006523443680047203,0.006523443680047203,0.006523443680047203,1.0077377638881146,1.0423277297745208,2.193729278165493,0.5406280191825512
2025-02-17,77152.29209240971,down_trend,30.0,0,,21,speculation_change_rate,-0.2079212036613934,-1.046421474235696,-0.233094401790022,-0.2079212036613934,0.15,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,0.004869827498237944,-0.004869827498237944,-0.004869827498237944,1.0028302548145196,1.0372517735338889,2.193729278165493,0.542865081486656
2025-02-18,77069.38997247192,down_trend,30.0,0,,21,speculation_change_rate,-0.2222087880939852,-1.2977186302151789,-0.2512971559794827,-0.2222087880939852,0.15,0,0,none,0,1.0,0,down_trend,-1.0,41.0,-1.0,-1.0,-0.00107452569054578,0.00107452569054578,0.00107452569054578,1.0039078216865744,1.0383663272121153,2.193729278165493,0.5423738782726679
